County-State,Graduation-Rate
SKAGWAY-HOONAH-ANGOON CENSUS AREA-AK,""
SOUTHEAST FAIRBANKS CENSUS AREA-AK,0.4642857143
VALDEZ-CORDOVA CENSUS AREA-AK,0.5066666667
WADE HAMPTON CENSUS AREA-AK,""
WRANGELL-PETERSBURG CENSUS AREA-AK,0.6229508197
YAKUTAT BOROUGH-AK,""
YUKON-KOYUKUK CENSUS AREA-AK,""
APACHE-AZ,0.2865275142
COCHISE-AZ,0.5967987805
COCONINO-AZ,0.5196451204
GILA-AZ,0.6036988111
GRAHAM-AZ,0.5609756098
GREENLEE-AZ,0.4814814815
LA PAZ-AZ,0.5322033898
MARICOPA-AZ,0.6999772236
MOHAVE-AZ,0.6448210923
NAVAJO-AZ,0.4716775599
PIMA-AZ,0.7383690987
PINAL-AZ,0.6668587896
SANTA CRUZ-AZ,0.5611814346
YAVAPAI-AZ,0.7011058452
YUMA-AZ,0.6666666667
ARKANSAS-AR,0.5280373832
ASHLEY-AR,0.5457746479
BAXTER-AR,0.7137305699
BENTON-AR,0.6914580265
BOONE-AR,0.5918854415
BRADLEY-AR,0.5675675676
CALHOUN-AR,0.5714285714
CARROLL-AR,0.6231454006
CHICOT-AR,0.5
CLARK-AR,0.6477272727
CLAY-AR,0.6214953271
CLEBURNE-AR,0.6953781513
CLEVELAND-AR,0.5897435897
COLUMBIA-AR,0.6153846154
CONWAY-AR,0.6403940887
CRAIGHEAD-AR,0.6735395189
CRAWFORD-AR,0.6757425743
CRITTENDEN-AR,0.5461538462
CROSS-AR,0.4974619289
DALLAS-AR,0.5918367347
DESHA-AR,0.496350365
DREW-AR,0.5901639344
FAULKNER-AR,0.637599094
FRANKLIN-AR,0.6265822785
FULTON-AR,0.6466666667
GARLAND-AR,0.6837262795
GRANT-AR,0.5497382199
GREENE-AR,0.5778894472
HEMPSTEAD-AR,0.6320754717
HOT SPRING-AR,0.5621621622
HOWARD-AR,0.5460122699
INDEPENDENCE-AR,0.5942408377
IZARD-AR,0.5949367089
JACKSON-AR,0.4872727273
JEFFERSON-AR,0.6708661417
JOHNSON-AR,0.5572139303
LAFAYETTE-AR,0.5666666667
LAWRENCE-AR,0.631147541
LEE-AR,0.5178571429
LINCOLN-AR,0.6436781609
LITTLE RIVER-AR,0.5675675676
LOGAN-AR,0.5957446809
LONOKE-AR,0.5733113674
MADISON-AR,0.427184466
MARION-AR,0.6231343284
MILLER-AR,0.6345177665
MISSISSIPPI-AR,0.5062972292
MONROE-AR,0.6635514019
MONTGOMERY-AR,0.5327868852
NEVADA-AR,0.75
NEWTON-AR,0.5505617978
OUACHITA-AR,0.6450511945
PERRY-AR,0.5660377358
PHILLIPS-AR,0.3980582524
PIKE-AR,0.5514705882
POINSETT-AR,0.6416938111
POLK-AR,0.6042944785
POPE-AR,0.615
PRAIRIE-AR,0.5726495726
PULASKI-AR,0.6698212408
RANDOLPH-AR,0.6344086022
ST. FRANCIS-AR,0.488372093
SALINE-AR,0.628125
SCOTT-AR,0.519379845
SEARCY-AR,0.4859813084
SEBASTIAN-AR,0.6773823192
SEVIER-AR,0.5100671141
SHARP-AR,0.6153846154
STONE-AR,0.5666666667
UNION-AR,0.6088709677
VAN BUREN-AR,0.6546184739
WASHINGTON-AR,0.6232665639
WHITE-AR,0.5809768638
WOODRUFF-AR,0.5416666667
YELL-AR,0.5215517241
ALAMEDA-CA,0.6251630941
ALPINE-CA,""
AMADOR-CA,0.708045977
BUTTE-CA,0.6562905318
CALAVERAS-CA,0.6837481698
COLUSA-CA,0.6553672316
CONTRA COSTA-CA,0.6788925698
DEL NORTE-CA,0.6666666667
EL DORADO-CA,0.7188175919
FRESNO-CA,0.6428405122
GLENN-CA,0.6474820144
HUMBOLDT-CA,0.7101123596
IMPERIAL-CA,0.5446500402
INYO-CA,0.674796748
KERN-CA,0.5785528971
KINGS-CA,0.5590969456
LAKE-CA,0.6261558785
LASSEN-CA,0.5775193798
LOS ANGELES-CA,0.5607319069
MADERA-CA,0.6452476573
MARIN-CA,0.7142857143
MARIPOSA-CA,0.6452702703
MENDOCINO-CA,0.6139112903
MERCED-CA,0.6187228766
MODOC-CA,0.5533333333
MONO-CA,0.6746987952
MONTEREY-CA,0.6673706441
NAPA-CA,0.6971736205
NEVADA-CA,0.7220863896
ORANGE-CA,0.6688943775
PLACER-CA,0.7449078565
PLUMAS-CA,0.6666666667
RIVERSIDE-CA,0.6253758268
SACRAMENTO-CA,0.6245661396
SAN BENITO-CA,0.6421052632
SAN BERNARDINO-CA,0.5584893048
SAN DIEGO-CA,0.6159034997
SAN FRANCISCO-CA,0.6351206434
SAN JOAQUIN-CA,0.6252757643
SAN LUIS OBISPO-CA,0.7016949153
SAN MATEO-CA,0.7043838863
SANTA BARBARA-CA,0.6943005181
SANTA CLARA-CA,0.6565377532
SANTA CRUZ-CA,0.6833998859
SHASTA-CA,0.6386352715
SIERRA-CA,""
SISKIYOU-CA,0.6468699839
SOLANO-CA,0.4889679715
SONOMA-CA,0.6885735624
STANISLAUS-CA,0.6205830389
SUTTER-CA,0.6418269231
TEHAMA-CA,0.6393063584
TRINITY-CA,0.564516129
TULARE-CA,0.6375916635
TUOLUMNE-CA,0.6943699732
VENTURA-CA,0.6654231298
YOLO-CA,0.6672025723
YUBA-CA,0.5740365112
ADAMS-CO,0.5756227758
ALAMOSA-CO,0.55
ARAPAHOE-CO,0.6706367384
ARCHULETA-CO,0.5890410959
BACA-CO,0.5614035088
BENT-CO,0.575
BOULDER-CO,0.7228915663
BROOMFIELD-CO,""
CHAFFEE-CO,0.7302325581
CHEYENNE-CO,""
CLEAR CREEK-CO,""
CONEJOS-CO,0.3392857143
COSTILLA-CO,""
CROWLEY-CO,0.7
CUSTER-CO,0.6481481481
DELTA-CO,0.6666666667
DENVER-CO,0.6257040451
DOLORES-CO,""
DOUGLAS-CO,0.7149666349
EAGLE-CO,0.7445652174
ELBERT-CO,0.5897435897
EL PASO-CO,0.5991758242
FREMONT-CO,0.6593886463
GARFIELD-CO,0.6696428571
GILPIN-CO,""
GRAND-CO,0.6818181818
GUNNISON-CO,0.6893203883
HINSDALE-CO,""
HUERFANO-CO,0.5346534653
JACKSON-CO,""
JEFFERSON-CO,0.6368471954
KIOWA-CO,""
KIT CARSON-CO,0.5333333333
LAKE-CO,""
LA PLATA-CO,0.6727272727
LARIMER-CO,0.718734048
LAS ANIMAS-CO,0.6322580645
LINCOLN-CO,0.5636363636
LOGAN-CO,0.6826347305
MESA-CO,0.712
MINERAL-CO,""
MOFFAT-CO,0.5163934426
MONTEZUMA-CO,0.619047619
MONTROSE-CO,0.7142857143
MORGAN-CO,0.5178571429
OTERO-CO,0.65
OURAY-CO,0.71875
PARK-CO,0.6481481481
PHILLIPS-CO,0.6909090909
PITKIN-CO,0.7358490566
PROWERS-CO,0.5196850394
PUEBLO-CO,0.6631493506
RIO BLANCO-CO,0.6666666667
RIO GRANDE-CO,0.5462184874
ROUTT-CO,0.7372262774
SAGUACHE-CO,0.5714285714
SAN JUAN-CO,""
SAN MIGUEL-CO,""
SEDGWICK-CO,""
SUMMIT-CO,0.7350993377
TELLER-CO,0.6142857143
WASHINGTON-CO,0.6721311475
WELD-CO,0.6297602257
YUMA-CO,0.6636363636
FAIRFIELD-CT,0.6915497662
HARTFORD-CT,0.7212701613
LITCHFIELD-CT,0.7350230415
MIDDLESEX-CT,0.7477941176
NEW HAVEN-CT,0.6883895131
NEW LONDON-CT,0.7564674398
TOLLAND-CT,0.757430489
WINDHAM-CT,0.7094430993
KENT-DE,0.6836734694
NEW CASTLE-DE,0.7072142064
SUSSEX-DE,0.7348866499
DISTRICT OF COLUMBIA-DC,""
DISTRICT OF COLUMBIA-DC,""
ALACHUA-FL,0.7091128546
BAKER-FL,0.6180904523
BAY-FL,0.6354983203
BRADFORD-FL,0.6908396947
BREVARD-FL,0.7205462699
BROWARD-FL,0.6131656805
CALHOUN-FL,0.5877192982
CHARLOTTE-FL,0.7776102525
CITRUS-FL,0.7378895982
CLAY-FL,0.6845753899
COLLIER-FL,0.7920815003
COLUMBIA-FL,0.6826003824
DESOTO-FL,0.6231454006
DIXIE-FL,0.5101010101
DUVAL-FL,0.6913223886
ESCAMBIA-FL,0.64991274
FLAGLER-FL,0.794094174
FRANKLIN-FL,0.6972477064
GADSDEN-FL,0.6203007519
GILCHRIST-FL,0.5555555556
GLADES-FL,0.5890410959
GULF-FL,0.5915492958
HAMILTON-FL,0.5859872611
HARDEE-FL,0.5891089109
HENDRY-FL,0.5369649805
HERNANDO-FL,0.7196601942
HIGHLANDS-FL,0.6833333333
HILLSBOROUGH-FL,0.6713557236
HOLMES-FL,0.6101694915
INDIAN RIVER-FL,0.7508825013
JACKSON-FL,0.6612111293
JEFFERSON-FL,0.4948453608
LAFAYETTE-FL,0.5555555556
LAKE-FL,0.7470478558
LEE-FL,0.7592162554
LEON-FL,0.7021072797
LEVY-FL,0.5623762376
LIBERTY-FL,0.7192982456
MADISON-FL,0.6123595506
MANATEE-FL,0.7478632479
MARION-FL,0.7466224224
MARTIN-FL,0.7650219834
MIAMI-DADE-FL,0.5592038796
MONROE-FL,0.6131953428
NASSAU-FL,0.7271589487
OKALOOSA-FL,0.7086197779
OKEECHOBEE-FL,0.6383561644
ORANGE-FL,0.6688128773
OSCEOLA-FL,0.6038394415
PALM BEACH-FL,0.7683712121
PASCO-FL,0.7303921569
PINELLAS-FL,0.7145531118
POLK-FL,0.7224707135
PUTNAM-FL,0.677574591
ST. JOHNS-FL,0.7605344296
ST. LUCIE-FL,0.7271980279
SANTA ROSA-FL,0.6788375559
SARASOTA-FL,0.78320971
SEMINOLE-FL,0.6730512249
SUMTER-FL,0.8331681533
SUWANNEE-FL,0.635538262
TAYLOR-FL,0.5862068966
UNION-FL,0.5979381443
VOLUSIA-FL,0.7286563615
WAKULLA-FL,0.6740740741
WALTON-FL,0.677830941
WASHINGTON-FL,0.6258503401
APPLING-GA,0.6197916667
ATKINSON-GA,0.5930232558
BACON-GA,0.5
BAKER-GA,""
BALDWIN-GA,0.7194805195
BANKS-GA,0.625698324
BARROW-GA,0.6424116424
BARTOW-GA,0.6387009472
BEN HILL-GA,0.6281407035
BERRIEN-GA,0.6737967914
BIBB-GA,0.7178257394
BLECKLEY-GA,0.7419354839
BRANTLEY-GA,0.5760869565
BROOKS-GA,0.4929577465
BRYAN-GA,0.6858974359
BULLOCH-GA,0.6285714286
BURKE-GA,0.6153846154
BUTTS-GA,0.6307053942
CALHOUN-GA,0.5967741935
CAMDEN-GA,0.7558139535
CANDLER-GA,0.5151515152
CARROLL-GA,0.5941240479
CATOOSA-GA,0.6512702079
CHARLTON-GA,0.6276595745
CHATHAM-GA,0.7553418803
CHATTAHOOCHEE-GA,""
CHATTOOGA-GA,0.5590277778
CHEROKEE-GA,0.6566347469
CLARKE-GA,0.7418879056
CLAY-GA,""
CLAYTON-GA,0.5671296296
CLINCH-GA,0.6582278481
COBB-GA,0.6805024577
COFFEE-GA,0.5780821918
COLQUITT-GA,0.623059867
COLUMBIA-GA,0.6318036286
COOK-GA,0.6770833333
COWETA-GA,0.6865168539
CRAWFORD-GA,0.4545454545
CRISP-GA,0.6632124352
DADE-GA,0.5562130178
DAWSON-GA,0.6680851064
DECATUR-GA,0.5572519084
DEKALB-GA,0.6587827184
DODGE-GA,0.6553191489
DOOLY-GA,0.7037037037
DOUGHERTY-GA,0.7275822928
DOUGLAS-GA,0.6633663366
EARLY-GA,0.5535714286
ECHOLS-GA,""
EFFINGHAM-GA,0.6989795918
ELBERT-GA,0.6273584906
EMANUEL-GA,0.6041666667
EVANS-GA,0.5697674419
FANNIN-GA,0.6073446328
FAYETTE-GA,0.7109111361
FLOYD-GA,0.6866866867
FORSYTH-GA,0.7059538275
FRANKLIN-GA,0.6
FULTON-GA,0.6552856205
GILMER-GA,0.5640326975
GLASCOCK-GA,""
GLYNN-GA,0.7039106145
GORDON-GA,0.5181644359
GRADY-GA,0.6893203883
GREENE-GA,0.7203389831
GWINNETT-GA,0.6532045654
HABERSHAM-GA,0.7055961071
HALL-GA,0.6902581182
HANCOCK-GA,0.7777777778
HARALSON-GA,0.5942028986
HARRIS-GA,0.6995515695
HART-GA,0.5852842809
HEARD-GA,0.5428571429
HENRY-GA,0.6853677028
HOUSTON-GA,0.6695075758
IRWIN-GA,0.6590909091
JACKSON-GA,0.6656346749
JASPER-GA,0.6347826087
JEFF DAVIS-GA,0.5974842767
JEFFERSON-GA,0.6470588235
JENKINS-GA,0.5604395604
JOHNSON-GA,0.5824175824
JONES-GA,0.7095435685
LAMAR-GA,0.6095890411
LANIER-GA,0.5
LAURENS-GA,0.6666666667
LEE-GA,0.6725146199
LIBERTY-GA,0.6523178808
LINCOLN-GA,0.6
LONG-GA,0.5833333333
LOWNDES-GA,0.7024608501
LUMPKIN-GA,0.7389380531
MCDUFFIE-GA,0.5728643216
MCINTOSH-GA,0.7285714286
MACON-GA,0.57
MADISON-GA,0.6772908367
MARION-GA,0.6710526316
MERIWETHER-GA,0.5530726257
MILLER-GA,0.5147058824
MITCHELL-GA,0.6315789474
MONROE-GA,0.7010309278
MONTGOMERY-GA,0.6774193548
MORGAN-GA,0.675257732
MURRAY-GA,0.5813253012
MUSCOGEE-GA,0.6792963464
NEWTON-GA,0.6841317365
OCONEE-GA,0.7041420118
OGLETHORPE-GA,0.71875
PAULDING-GA,0.6213592233
PEACH-GA,0.6394557823
PICKENS-GA,0.6629464286
PIERCE-GA,0.6260869565
PIKE-GA,0.6866666667
POLK-GA,0.6473317865
PULASKI-GA,0.7190082645
PUTNAM-GA,0.6844262295
QUITMAN-GA,""
RABUN-GA,0.5745454545
RANDOLPH-GA,0.5915492958
RICHMOND-GA,0.5940233236
ROCKDALE-GA,0.7058823529
SCHLEY-GA,0.6530612245
SCREVEN-GA,0.5869565217
SEMINOLE-GA,0.6153846154
SPALDING-GA,0.6003289474
STEPHENS-GA,0.6474820144
STEWART-GA,0.5319148936
SUMTER-GA,0.624
TALBOT-GA,""
TALIAFERRO-GA,""
TATTNALL-GA,0.5502392344
TAYLOR-GA,0.6285714286
TELFAIR-GA,0.4959349593
TERRELL-GA,0.5802469136
THOMAS-GA,0.679245283
TIFT-GA,0.7270408163
TOOMBS-GA,0.6175637394
TOWNS-GA,0.7208333333
TREUTLEN-GA,0.7142857143
TROUP-GA,0.6179577465
TURNER-GA,0.6842105263
TWIGGS-GA,0.5975609756
UNION-GA,0.7068965517
UPSON-GA,0.548951049
WALKER-GA,0.6297577855
WALTON-GA,0.6739130435
WARE-GA,0.6270022883
WARREN-GA,0.78
WASHINGTON-GA,0.6731707317
WAYNE-GA,0.5795454545
WEBSTER-GA,""
WHEELER-GA,""
WHITE-GA,0.6801152738
WHITFIELD-GA,0.6393063584
WILCOX-GA,0.6161616162
WILKES-GA,0.6268656716
WILKINSON-GA,0.7279411765
WORTH-GA,0.5927835052
HAWAII-HI,0.6153039832
HONOLULU-HI,0.6259094109
KALAWAO-HI,""
KAUAI-HI,0.6504065041
MAUI-HI,0.586440678
ADA-ID,0.6774001193
ADAMS-ID,0.6458333333
BANNOCK-ID,0.6148491879
BEAR LAKE-ID,0.4705882353
BENEWAH-ID,0.5480769231
BINGHAM-ID,0.6283524904
BLAINE-ID,0.7853658537
BOISE-ID,""
BONNER-ID,0.5974683544
BONNEVILLE-ID,0.5928473177
BOUNDARY-ID,0.5132743363
BUTTE-ID,""
CAMAS-ID,""
CANYON-ID,0.6057142857
CARIBOU-ID,0.5507246377
CASSIA-ID,0.5576923077
CLARK-ID,""
CLEARWATER-ID,0.7450980392
CUSTER-ID,0.6046511628
ELMORE-ID,0.5729166667
FRANKLIN-ID,0.5897435897
FREMONT-ID,0.5238095238
GEM-ID,0.64
GOODING-ID,0.511627907
IDAHO-ID,0.5207100592
JEFFERSON-ID,0.5087719298
JEROME-ID,0.6071428571
KOOTENAI-ID,0.6694756554
LATAH-ID,0.7104072398
LEMHI-ID,0.6461538462
LEWIS-ID,0.575
LINCOLN-ID,""
MADISON-ID,0.3483146067
MINIDOKA-ID,0.5771812081
NEZ PERCE-ID,0.7112860892
ONEIDA-ID,""
OWYHEE-ID,0.5423728814
PAYETTE-ID,0.5731707317
POWER-ID,0.5333333333
SHOSHONE-ID,0.5208333333
TETON-ID,0.6226415094
TWIN FALLS-ID,0.6735042735
VALLEY-ID,0.6952380952
WASHINGTON-ID,0.6373626374
ADAMS-IL,0.6686217009
ALEXANDER-IL,0.5588235294
BOND-IL,0.6650246305
BOONE-IL,0.63507109
BROWN-IL,0.475
BUREAU-IL,0.6292428198
CALHOUN-IL,0.6197183099
CARROLL-IL,0.6278026906
CASS-IL,0.6459627329
CHAMPAIGN-IL,0.7756232687
CHRISTIAN-IL,0.6216814159
CLARK-IL,0.5868263473
CLAY-IL,0.6701030928
CLINTON-IL,0.6902654867
COLES-IL,0.7516778523
COOK-IL,0.6237142375
CRAWFORD-IL,0.6319702602
CUMBERLAND-IL,0.6484375
DEKALB-IL,0.6836601307
DE WITT-IL,0.5743589744
DOUGLAS-IL,0.7743902439
DUPAGE-IL,0.6850446131
EDGAR-IL,0.5982532751
EDWARDS-IL,0.6333333333
EFFINGHAM-IL,0.7086247086
FAYETTE-IL,0.612244898
FORD-IL,0.6729559748
FRANKLIN-IL,0.5739750446
FULTON-IL,0.6005154639
GALLATIN-IL,0.5774647887
GREENE-IL,0.582278481
GRUNDY-IL,0.652892562
HAMILTON-IL,0.5104166667
HANCOCK-IL,0.6043956044
HARDIN-IL,0.5254237288
HENDERSON-IL,0.6226415094
HENRY-IL,0.6736641221
IROQUOIS-IL,0.616751269
JACKSON-IL,0.6456834532
JASPER-IL,0.7096774194
JEFFERSON-IL,0.6429980276
JERSEY-IL,0.6698717949
JO DAVIESS-IL,0.7556390977
JOHNSON-IL,0.6577540107
KANE-IL,0.6844993141
KANKAKEE-IL,0.6350230415
KENDALL-IL,0.7045908184
KNOX-IL,0.7294117647
LAKE-IL,0.6820276498
LASALLE-IL,0.6522423289
LAWRENCE-IL,0.5748792271
LEE-IL,0.7005494505
LIVINGSTON-IL,0.7469879518
LOGAN-IL,0.7591463415
MCDONOUGH-IL,0.662835249
MCHENRY-IL,0.6681063123
MCLEAN-IL,0.7644824311
MACON-IL,0.7157275021
MACOUPIN-IL,0.6700819672
MADISON-IL,0.7029015121
MARION-IL,0.621835443
MARSHALL-IL,0.6291390728
MASON-IL,0.6164383562
MASSAC-IL,0.7014218009
MENARD-IL,0.7421875
MERCER-IL,0.6859903382
MONROE-IL,0.7874015748
MONTGOMERY-IL,0.6954177898
MORGAN-IL,0.6475
MOULTRIE-IL,0.7443609023
OGLE-IL,0.6231263383
PEORIA-IL,0.6499321574
PERRY-IL,0.6219512195
PIATT-IL,0.7197452229
PIKE-IL,0.6421568627
POPE-IL,0.6909090909
PULASKI-IL,0.676056338
PUTNAM-IL,0.602739726
RANDOLPH-IL,0.6334106729
RICHLAND-IL,0.5858585859
ROCK ISLAND-IL,0.7325581395
ST. CLAIR-IL,0.6692607004
SALINE-IL,0.6452442159
SANGAMON-IL,0.7080969572
SCHUYLER-IL,0.5824175824
SCOTT-IL,0.5454545455
SHELBY-IL,0.5957446809
STARK-IL,0.6885245902
STEPHENSON-IL,0.6483790524
TAZEWELL-IL,0.6787401575
UNION-IL,0.7238493724
VERMILION-IL,0.620782726
WABASH-IL,0.5984848485
WARREN-IL,0.65625
WASHINGTON-IL,0.6944444444
WAYNE-IL,0.6294642857
WHITE-IL,0.6666666667
WHITESIDE-IL,0.6503703704
WILL-IL,0.658259773
WILLIAMSON-IL,0.6301886792
WINNEBAGO-IL,0.6564922481
WOODFORD-IL,0.7037037037
ADAMS-IN,0.6193548387
ALLEN-IN,0.6054380665
BARTHOLOMEW-IN,0.6598639456
BENTON-IN,0.523255814
BLACKFORD-IN,0.6237113402
BOONE-IN,0.6837209302
BROWN-IN,0.6575342466
CARROLL-IN,0.648241206
CASS-IN,0.685
CLARK-IN,0.6532258065
CLAY-IN,0.6043613707
CLINTON-IN,0.6363636364
CRAWFORD-IN,0.53125
DAVIESS-IN,0.6407407407
DEARBORN-IN,0.6295399516
DECATUR-IN,0.6748768473
DE KALB-IN,0.5420168067
DELAWARE-IN,0.7107583774
DUBOIS-IN,0.6779279279
ELKHART-IN,0.6472663139
FAYETTE-IN,0.5964285714
FLOYD-IN,0.7106518283
FOUNTAIN-IN,0.5352112676
FRANKLIN-IN,0.6369047619
FULTON-IN,0.6625766871
GIBSON-IN,0.6206896552
GRANT-IN,0.7125340599
GREENE-IN,0.5963060686
HAMILTON-IN,0.7367055772
HANCOCK-IN,0.7198838897
HARRISON-IN,0.6844783715
HENDRICKS-IN,0.7089783282
HENRY-IN,0.7262103506
HOWARD-IN,0.7057777778
HUNTINGTON-IN,0.636
JACKSON-IN,0.6047904192
JASPER-IN,0.6413612565
JAY-IN,0.628440367
JEFFERSON-IN,0.6430517711
JENNINGS-IN,0.6079136691
JOHNSON-IN,0.67239819
KNOX-IN,0.5945330296
KOSCIUSKO-IN,0.612
LAGRANGE-IN,0.6605504587
LAKE-IN,0.5827461029
LA PORTE-IN,0.6287683032
LAWRENCE-IN,0.6387900356
MADISON-IN,0.7026637869
MARION-IN,0.6330645161
MARSHALL-IN,0.6132596685
MARTIN-IN,0.5853658537
MIAMI-IN,0.6501305483
MONROE-IN,0.6950617284
MONTGOMERY-IN,0.6439169139
MORGAN-IN,0.668989547
NEWTON-IN,0.5563909774
NOBLE-IN,0.5977859779
OHIO-IN,0.5882352941
ORANGE-IN,0.5925925926
OWEN-IN,0.6130434783
PARKE-IN,0.578125
PERRY-IN,0.6770833333
PIKE-IN,0.6319444444
PORTER-IN,0.6142167012
POSEY-IN,0.6941747573
PULASKI-IN,0.5466666667
PUTNAM-IN,0.5797101449
RANDOLPH-IN,0.6213592233
RIPLEY-IN,0.5946843854
RUSH-IN,0.6052631579
ST. JOSEPH-IN,0.6407322654
SCOTT-IN,0.6445182724
SHELBY-IN,0.632034632
SPENCER-IN,0.7253218884
STARKE-IN,0.5368421053
STEUBEN-IN,0.6221374046
SULLIVAN-IN,0.5138121547
SWITZERLAND-IN,0.5533980583
TIPPECANOE-IN,0.6724537037
TIPTON-IN,0.6601941748
UNION-IN,0.7435897436
VANDERBURGH-IN,0.7102229055
VERMILLION-IN,0.5625
VIGO-IN,0.6222826087
WABASH-IN,0.6484018265
WARREN-IN,0.6352941176
WARRICK-IN,0.7381889764
WASHINGTON-IN,0.5466666667
WAYNE-IN,0.6293333333
WELLS-IN,0.7005347594
WHITE-IN,0.6310344828
WHITLEY-IN,0.5254237288
ADAIR-IA,0.6724137931
ADAMS-IA,0.7608695652
ALLAMAKEE-IA,0.7073170732
APPANOOSE-IA,0.5465838509
AUDUBON-IA,0.6626506024
BENTON-IA,0.7233009709
BLACK HAWK-IA,0.7866273353
BOONE-IA,0.7322175732
BREMER-IA,0.7361563518
BUCHANAN-IA,0.6454545455
BUENA VISTA-IA,0.6610169492
BUTLER-IA,0.6882352941
CALHOUN-IA,0.6818181818
CARROLL-IA,0.7232142857
CASS-IA,0.6617647059
CEDAR-IA,0.7692307692
CERRO GORDO-IA,0.6990291262
CHEROKEE-IA,0.75
CHICKASAW-IA,0.7483443709
CLARKE-IA,0.6082474227
CLAY-IA,0.6479591837
CLAYTON-IA,0.7142857143
CLINTON-IA,0.7105788423
CRAWFORD-IA,0.7266666667
DALLAS-IA,0.6812865497
DAVIS-IA,0.6774193548
DECATUR-IA,0.7215189873
DELAWARE-IA,0.7463768116
DES MOINES-IA,0.6666666667
DICKINSON-IA,0.6804511278
DUBUQUE-IA,0.8559602649
EMMET-IA,0.592920354
FAYETTE-IA,0.6637168142
FLOYD-IA,0.7682403433
FRANKLIN-IA,0.6923076923
FREMONT-IA,0.5555555556
GREENE-IA,0.6951219512
GRUNDY-IA,0.7704918033
GUTHRIE-IA,0.5909090909
HAMILTON-IA,0.7721518987
HANCOCK-IA,0.78
HARDIN-IA,0.7095588235
HARRISON-IA,0.5769230769
HENRY-IA,0.6294416244
HOWARD-IA,0.6746031746
HUMBOLDT-IA,0.6837606838
IDA-IA,0.6212121212
IOWA-IA,0.7121212121
JACKSON-IA,0.7201834862
JASPER-IA,0.6935064935
JEFFERSON-IA,0.5899280576
JOHNSON-IA,0.7580645161
JONES-IA,0.6507936508
KEOKUK-IA,0.6287878788
KOSSUTH-IA,0.7955555556
LEE-IA,0.6790697674
LINN-IA,0.7568627451
LOUISA-IA,0.6635514019
LUCAS-IA,0.6568627451
LYON-IA,0.7282608696
