,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,OBJECTID
20,00161546,01041,1576952763,5388562,Crenshaw County,Alabama,42611,2556,,,55833,14437,45500,6617,34926,6289,23698.0,2353.0,,,,,,,,,,,48923,4845,,,5011,209,558,143,4453,218,11.1,2.81567427400332,2194020409.70703,286131.193014352,21.0
21,00161547,01043,1902962812,52533095,Cullman County,Alabama,48388,2887,39237.0,4670.0,57965,4651,55895,3723,34970,2554,49306.0,23829.0,44368.0,7976.0,,,,,38750.0,5934.0,60806.0,18194.0,48135,2862,50909.0,15760.0,31733,507,3939,482,27794,664,12.4,1.50592061420968,2861200514.49609,295392.661314247,22.0
22,00161548,01045,1453276166,4051341,Dale County,Alabama,45644,3070,33125.0,8269.0,46397,4227,51745,3869,39144,2953,30653.0,4711.0,43409.0,21535.0,,,,,,,60764.0,27826.0,50365,3130,52903.0,27266.0,19405,433,1205,201,18200,432,6.2,1.02650574083944,2007843656.45117,200998.099549269,23.0
23,00161549,01047,2534919608,39124778,Dallas County,Alabama,33317,1786,24362.0,4217.0,31064,3197,36794,4810,32588,4047,27270.0,3376.0,,,,,,,,,50125.0,27895.0,55590,6170,83438.0,43439.0,15409,422,1044,200,14365,486,6.8,1.28461127162265,3615260196.78125,375473.730291974,24.0
24,00161550,01049,2012620262,4107136,DeKalb County,Alabama,42267,2236,33156.0,2957.0,51203,3586,50298,3404,31244,4067,37292.0,14207.0,54423.0,25952.0,60625.0,30776.0,,,24583.0,7985.0,38036.0,21175.0,44040,2215,26922.0,7694.0,26365,479,3625,422,22740,573,13.7,1.58099449041775,2973711650.0625,274855.552952982,25.0
25,00161551,01051,1601945705,99781059,Elmore County,Alabama,62324,3475,24191.0,9785.0,67182,3869,76369,7264,51174,4532,41453.0,6167.0,64781.0,56232.0,55208.0,25937.0,,,41250.0,27888.0,26188.0,18131.0,69649,3308,34344.0,22351.0,29794,557,2195,356,27599,614,7.4,1.18690687120046,2404342396.28125,273321.890654712,26.0
26,00161552,01053,2448595161,20024887,Escambia County,Alabama,35558,2902,30895.0,6500.0,37530,5957,39539,5808,31654,4493,24943.0,5026.0,31911.0,8517.0,,,,,,,35750.0,15778.0,41501,4994,70074.0,32312.0,12931,629,840,193,12091,635,6.5,1.45870540571607,3379387358.91016,290489.662897321,27.0
27,00161553,01055,1385916770,35022972,Etowah County,Alabama,44934,1643,27769.0,4852.0,44720,5973,54223,2861,39175,3043,30601.0,2236.0,,,42240.0,29295.0,,,26952.0,5361.0,30625.0,17140.0,49446,2577,30500.0,8261.0,38765,578,3488,570,35277,743,9.0,1.46426529910451,2074840408.55078,252677.627092227,28.0
28,00161554,01057,1625693254,4330881,Fayette County,Alabama,41469,6240,29742.0,3190.0,58309,7341,42327,13742,29488,5563,29832.0,5581.0,,,,,,,,,,,46250,6720,,,6805,271,553,138,6252,288,8.1,2.00193178939415,2362301126.24609,222371.138651055,29.0
29,00161555,01059,1641845708,32639621,Franklin County,Alabama,41174,4093,52292.0,14958.0,52376,9512,45444,6156,29537,5113,33929.0,16554.0,68382.0,25133.0,,,,,37500.0,11440.0,18150.0,16154.0,43013,4149,39722.0,12415.0,11017,380,1187,270,9830,418,10.8,2.42241770263734,2467990401.71094,210530.791667798,30.0
30,00161556,01061,1487908432,11567409,Geneva County,Alabama,41569,2055,,,45553,9091,47140,10199,32677,5184,27634.0,9879.0,,,,,,,48250.0,40581.0,29886.0,17125.0,42308,3239,47917.0,44704.0,10572,378,1062,226,9510,398,10.0,2.10733298741532,2051355981.80273,212054.232608131,31.0
31,00161557,01063,1675782057,33416141,Greene County,Alabama,26688,3196,2499.0,,28333,7002,22609,8183,29172,7720,21319.0,4469.0,,,,,,,,,,,54279,8293,,,3178,229,177,99,3001,233,5.6,3.08920681354004,2428713174.98047,429975.2631837,32.0
32,00161558,01065,1667926655,32403804,Hale County,Alabama,30793,5559,12065.0,2932.0,27958,9963,42703,10128,25506,3058,22919.0,3099.0,,,,,,,,,16615.0,7220.0,54879,6623,,,5490,292,403,118,5087,318,7.3,2.1136043749997,2411244630.625,299733.019946821,33.0
33,00161559,01067,1454959642,16953809,Henry County,Alabama,51715,3572,43403.0,26349.0,56858,11626,61265,9571,32365,4296,27799.0,5236.0,,,,,,,,,88333.0,6666.0,60095,4315,43681.0,17513.0,6556,285,517,164,6039,324,7.9,2.47792414137432,2031500362.63867,199590.210860242,34.0
34,00161560,01069,1501742239,4795415,Houston County,Alabama,49069,1379,27234.0,3233.0,52111,1998,58609,2863,40447,1169,30758.0,1489.0,78281.0,16443.0,82409.0,20823.0,,,52750.0,10566.0,36712.0,1967.0,57999,1915,40353.0,4714.0,39784,366,3441,283,36343,391,8.6,0.706876929203945,2063524545.76758,246322.916472474,35.0
35,00161561,01071,2792044654,126334707,Jackson County,Alabama,42578,2418,31417.0,6910.0,43486,9295,55349,8266,36493,2519,34722.0,17589.0,33235.0,25033.0,31250.0,9698.0,,,13602.0,626.0,60464.0,19081.0,43307,2510,14654.0,14447.0,20367,519,1434,247,18933,565,7.0,1.19940103546737,4336180086.54688,321762.71709507,36.0
36,00161562,01073,2878852142,32681784,Jefferson County,Alabama,55088,1091,26461.0,2777.0,59434,2015,64917,1961,42982,1829,39286.0,1453.0,37235.0,20892.0,70618.0,3739.0,,,44142.0,6094.0,44708.0,10413.0,73945,1654,41778.0,4577.0,263801,1463,21910,1010,241891,1816,8.3,0.380083536719354,4203366159.45313,349978.444251639,37.0
37,00161563,01075,1566544684,1600679,Lamar County,Alabama,42688,5653,45943.0,26818.0,52567,8978,52276,7066,26391,5325,21858.0,21139.0,,,,,,,,,11042.0,1300.0,46156,3061,,,5631,266,448,179,5183,282,8.0,3.15653657824001,2275683924.40625,206364.687540945,38.0
38,00161564,01077,1730148679,133606345,Lauderdale County,Alabama,48428,2729,20891.0,3216.0,49960,5905,67130,4917,42240,3936,27944.0,5200.0,,,,,,,112553.0,108929.0,42609.0,14611.0,52170,3156,45674.0,18921.0,38513,524,3269,377,35244,635,8.5,0.972053991325991,2777329127.75391,282882.832712973,39.0
39,00161565,01079,1788864348,68682286,Lawrence County,Alabama,47125,3694,16039.0,2317.0,63623,9625,53462,6969,34548,2575,32630.0,3569.0,66550.0,22708.0,,,,,,,67031.0,16812.0,49580,5766,,,12551,349,840,211,11711,415,6.7,1.67080860624561,2743021922.58594,238127.799836349,40.0
40,00161566,01081,1573528082,21515484,Lee County,Alabama,52930,3248,11568.0,2198.0,57642,4567,74228,4493,46488,3727,34786.0,2692.0,,,57083.0,6587.0,,,,,47553.0,20239.0,62077,2950,40565.0,9179.0,60731,889,5075,549,55656,982,8.4,0.895671784271037,2253833609.47266,241936.342129345,41.0
41,00161567,01083,1450296914,122310594,Limestone County,Alabama,64270,4043,33750.0,5344.0,71530,4085,77184,3963,43252,3702,46962.0,8612.0,,,94727.0,75245.0,,,20000.0,14103.0,,,67599,4081,52721.0,16968.0,32725,538,3188,468,29537,649,9.7,1.42110320799366,2338327052.80078,207527.334641196,42.0
42,00161568,01085,1854651814,23271259,Lowndes County,Alabama,33634,5649,17833.0,15385.0,35742,10679,39493,9170,23293,1770,24684.0,2273.0,,,,,,,,,,,66250,13403,,,4213,229,271,102,3942,237,6.4,2.39569786887689,2627716273.94141,283872.006655391,43.0
43,00161569,01087,1576435594,11765508,Macon County,Alabama,35450,3140,13571.0,8402.0,31034,6692,41895,4188,37120,4430,31301.0,2197.0,,,,,,,,,70693.0,16852.0,51685,8119,,,7592,288,577,151,7015,309,7.6,1.96792888731985,2233558439.13281,249787.078930087,44.0
44,00161570,01089,2076136600,28786030,Madison County,Alabama,66887,1747,28806.0,2820.0,67094,3330,89023,4829,54119,1993,42114.0,3248.0,83113.0,7150.0,81515.0,14183.0,80660.0,47849.0,27063.0,6107.0,71583.0,11228.0,78919,1952,42285.0,6414.0,151628,957,14144,1098,137484,1380,9.3,0.721743388228177,3126309078.41797,296070.746787296,45.0
45,00161572,01091,2530155136,14951685,Marengo County,Alabama,33029,3669,,,27231,19438,39808,11609,31972,4490,23429.0,3446.0,,,,,,,,,100268.0,95026.0,61763,5979,,,7499,305,345,129,7154,310,4.6,1.7100223557141,3568505115.71875,316844.292480419,46.0
46,00161573,01093,1922660061,3180617,Marion County,Alabama,40978,3372,17203.0,2153.0,48732,4741,46774,4654,27308,5910,23906.0,10002.0,35662.0,21292.0,,,,,,,,,42021,3566,47670.0,8755.0,11780,412,1175,243,10605,403,10.0,2.03310598083176,2818112634.87891,229609.413011095,47.0
47,00161574,01095,1465531833,148495463,Marshall County,Alabama,50216,1709,34858.0,4495.0,54309,4237,58108,3778,40233,2403,42074.0,9860.0,,,,,,,45938.0,6842.0,41285.0,14880.0,51658,1632,40813.0,7501.0,35115,536,3247,356,31868,619,9.2,1.00393860463329,2374683737.75,273836.393285735,48.0
48,00161575,01097,3184064139,1074011171,Mobile County,Alabama,49625,1232,20809.0,4350.0,51243,2542,60056,2063,40899,1576,34391.0,1505.0,54741.0,19314.0,58674.0,11169.0,,,52109.0,19090.0,51531.0,10792.0,60837,1702,44067.0,11961.0,157557,1279,11616,796,145941,1386,7.4,0.501656609597717,4467024269.36523,446559.522055058,49.0
49,00161576,01099,2656469672,22609681,Monroe County,Alabama,31969,3733,,,31185,13331,37734,7900,30199,4385,21242.0,5443.0,41324.0,8908.0,250001.0,,,,,,,,50230,5269,,,8050,422,491,130,7559,406,6.1,1.5829364976764,3702031810.49219,338515.224606035,50.0
50,00161577,01101,2034045843,37716728,Montgomery County,Alabama,51963,1474,24246.0,5193.0,49920,2863,60078,2885,50043,3604,40315.0,1681.0,,,81019.0,12767.0,,,34705.0,13757.0,55587.0,1226.0,71887,2342,37737.0,8797.0,89511,971,7938,720,81573,1081,8.9,0.798597030344325,2903090685.75,314570.853404692,51.0
51,00161578,01103,1501337447,50196644,Morgan County,Alabama,52923,1858,40426.0,5431.0,54388,2422,63903,5822,39597,2929,32244.0,4052.0,78913.0,13768.0,,,,,32586.0,16988.0,,,56484,3251,44613.0,12695.0,46388,695,3740,441,42648,851,8.1,0.942971576048067,2287416991.42188,219739.803127591,52.0
52,00161579,01105,1863936200,10902207,Perry County,Alabama,23875,2564,,,18769,3089,23218,4613,29070,12210,22320.0,3760.0,,,,,,,,,,,31364,16406,,,3140,252,119,77,3021,248,3.8,2.433294299924,2651390391.58984,263849.820826672,53.0
53,00161580,01107,2282835039,22621093,Pickens County,Alabama,40362,2740,,,38886,12703,47586,5381,31367,4263,25029.0,3802.0,,,,,,,,,,,63202,9292,63889.0,39556.0,7731,311,714,163,7017,335,9.2,2.07540314153169,3307673719.30469,273481.370716964,54.0
54,00161581,01109,1740645369,2339145,Pike County,Alabama,39218,3492,9746.0,7938.0,41968,9250,52628,5842,39050,5273,28952.0,4186.0,135192.0,54469.0,,,,,,,26058.0,13841.0,51961,5282,,,11700,560,956,183,10744,546,8.2,1.51441976176259,2420437516.09766,268538.659936096,55.0
55,00161582,01111,1503618358,9283013,Randolph County,Alabama,45141,4482,43629.0,4099.0,52045,4598,51232,6402,35635,4103,32835.0,3780.0,,,,,,,,,,,50995,4447,15060.0,12112.0,8655,330,846,187,7809,381,9.8,2.1282143857643,2171211717.41406,193440.074040153,56.0
56,00161583,01113,1660652494,15564412,Russell County,Alabama,42208,2255,22234.0,10529.0,44399,7589,50155,5342,27890,4586,34950.0,6408.0,,,,,,,,,57522.0,37892.0,50566,4735,38190.0,22635.0,23694,494,1530,414,22164,540,6.5,1.74208336899662,2352312055.08984,253445.971649211,57.0
57,00164997,01115,1635759732,56431785,St. Clair County,Alabama,62531,3275,39280.0,20695.0,71965,3557,69023,6392,43090,4117,40677.0,5996.0,62857.0,33007.0,50430.0,11535.0,,,32823.0,11509.0,108750.0,77059.0,65133,2803,54044.0,21983.0,32765,584,2839,432,29926,667,8.7,1.30940376913055,2452093557.17969,299822.764088077,58.0
58,00161584,01117,2034279155,62288767,Shelby County,Alabama,78889,2171,46083.0,8968.0,79931,4150,100529,2690,53998,2693,63119.0,4627.0,114292.0,38764.0,57099.0,37121.0,,,46250.0,10340.0,76724.0,19426.0,82708,2572,64317.0,6368.0,80756,685,8691,722,72065,855,10.8,0.889378542505682,3006837236.12109,302653.732038087,59.0
59,00161585,01119,2340898913,24634883,Sumter County,Alabama,26150,2033,16380.0,6566.0,37361,7929,31318,6986,25224,3846,24547.0,2268.0,,,,,,,,,46582.0,26662.0,33844,14974,46990.0,5985.0,5355,229,394,110,4961,249,7.4,2.02991501127893,3341843976.39063,370364.708843015,60.0
60,00161586,01121,1908346572,60874403,Talladega County,Alabama,43969,2845,29423.0,18540.0,47083,5981,50824,5970,35105,3648,31294.0,2170.0,13333.0,2453.0,,,,,,,43256.0,16753.0,54353,4365,,,31741,558,1935,313,29806,595,6.1,0.980265363705596,2831655045.09766,328321.912872285,61.0
61,00161587,01123,1855798005,128790974,Tallapoosa County,Alabama,48160,3507,33654.0,13993.0,47443,6667,57804,5495,35163,5360,25986.0,3566.0,,,47344.0,11252.0,,,41473.0,28432.0,54531.0,22081.0,54184,2930,67083.0,62166.0,16359,523,1450,260,14909,541,8.9,1.56387329555954,2820620541.33984,267238.897497894,62.0
62,00161588,01125,3420981170,78702314,Tuscaloosa County,Alabama,54283,1663,18643.0,4285.0,60147,2543,65845,5314,46801,3010,37014.0,2282.0,46435.0,11697.0,44125.0,23066.0,,,39375.0,20654.0,64469.0,22561.0,67409,3022,45951.0,11827.0,74713,808,6450,620,68263,920,8.6,0.824573382483357,5022048937.58203,349027.336707133,63.0
63,00161589,01127,2048757700,36683003,Walker County,Alabama,45833,2723,33793.0,14398.0,53114,6273,54181,5976,35319,2775,31389.0,10407.0,36370.0,772.0,,,,,30119.0,9704.0,23452.0,15029.0,48497,3286,26754.0,7919.0,25440,444,1903,260,23537,513,7.5,1.01363976392213,3028059079.86719,288090.554337569,64.0
64,00161590,01129,2797712949,21660030,Washington County,Alabama,42331,4919,,,62167,27177,52819,14369,28983,4030,17188.0,7161.0,,,,,,,,,,,50774,7651,,,5830,318,275,105,5555,326,4.7,1.78255657725785,3882445490.8125,315920.425190954,65.0
65,00161591,01131,2299540559,50592191,Wilcox County,Alabama,35063,4497,25591.0,14915.0,35442,9412,36541,11791,35299,2721,26750.0,3935.0,,,,,,,,,35625.0,21195.0,54306,10119,,,3961,214,190,81,3771,226,4.8,2.02845046754212,3276690397.87109,319240.883179127,66.0
66,00161592,01133,1587657470,48873867,Winston County,Alabama,40991,5537,29716.0,16943.0,43783,4700,50883,4826,28475,5269,,,21917.0,2041.0,,,,,,,,,42331,5518,28319.0,22391.0,9612,329,954,186,8658,344,9.9,1.90502800349389,2395469868.11719,202009.432042844,67.0
0,01419964,02013,18091672533,20799851130,Aleutians East Borough,Alaska,75833,10098,39306.0,17670.0,77250,19580,81310,9219,52054.0,32863.0,,,49868.0,9483.0,107941.0,30850.0,,,,,121250.0,28854.0,81250.0,22464.0,119183.0,19354.0,988,143,325,74,663,108,32.9,5.78190233832192,57224898703.7422,7242527.22162055,68.0
1,01419965,02016,11377885025,25183635754,Aleutians West Census Area,Alaska,87443,4734,127500.0,31291.0,89911,5804,97727,14130,61614.0,3104.0,42344.0,9098.0,59375.0,11729.0,84740.0,5138.0,60938.0,9962.0,90000.0,19715.0,92019.0,31151.0,123056.0,3556.0,88571.0,10080.0,1306,199,114,30,1192,182,8.7,1.872848553326,32097233159.5547,7433742.73285101,69.0
2,01416061,02020,4420591349,621302197,Anchorage Municipality,Alaska,84813,1694,45409.0,5456.0,85364,2290,107627,3950,67881.0,3769.0,64222.0,5078.0,57331.0,10007.0,74538.0,3217.0,65035.0,3798.0,67703.0,20740.0,74305.0,5841.0,94971.0,2769.0,66579.0,5008.0,106970,777,14385,939,92585,1171,13.4,0.872364523471612,19222870478.2188,695999.789859341,70.0
3,01419966,02050,105223804364,12764675306,Bethel Census Area,Alaska,54400,4198,50441.0,23276.0,61125,3161,54718,4579,43854.0,8575.0,95288.0,10560.0,43224.0,4205.0,,,,,,,85341.0,29599.0,116923.0,12845.0,,,4499,160,397,84,4102,174,8.8,1.84051937495671,463855357375.328,6309531.47160939,71.0
4,01419967,02060,1248315815,949775630,Bristol Bay Borough,Alaska,79808,12348,,,85000,14524,98333,23535,55625.0,25275.0,,,51875.0,9888.0,,,,,,,76250.0,41925.0,98333.0,11092.0,91250.0,37889.0,284,51,92,30,192,41,32.4,8.81725836924069,4912468165.82813,315652.123215563,72.0
5,01419988,02068,32740165582,66105677,Denali Borough,Alaska,76364,8704,,,82500,27313,99792,28982,39583.0,22499.0,,,90625.0,72893.0,,,,,,,83352.0,9612.0,76136.0,8761.0,,,726,336,129,79,597,279,17.8,7.12617115139095,166137383957.828,2084187.82329517,73.0
6,01419968,02070,47484825242,5943879883,Dillingham Census Area,Alaska,57436,4870,,,60069,6719,67308,14182,47961.0,9586.0,62188.0,21923.0,49231.0,4034.0,168125.0,145131.0,,,76528.0,39382.0,90313.0,34086.0,89375.0,24629.0,76786.0,48244.0,1430,89,296,54,1134,94,20.7,3.54967680252844,193739544672.391,3054409.09199334,74.0
7,01419969,02090,18997068212,259343323,Fairbanks North Star Borough,Alaska,76464,2792,47651.0,3646.0,80523,6596,96132,11677,69029.0,11135.0,61335.0,20600.0,65176.0,13356.0,63896.0,911.0,95489.0,51271.0,65500.0,64409.0,68728.0,13249.0,80648.0,6168.0,75646.0,20346.0,36199,770,4588,567,31611,911,12.7,1.54296517011522,105839847497.984,1883222.38844812,75.0
8,01419970,02100,6069358955,1041214321,Haines Borough,Alaska,65014,13908,,,56786,43567,105526,23477,,,,,,,,,,,,,66152.0,1271.0,56964.0,17339.0,,,917,116,281,77,636,129,30.6,7.44865347498401,23594038052.6641,1764824.94677227,76.0
9,02371430,02105,16978039504,7804886156,Hoonah-Angoon Census Area,Alaska,59926,4692,,,64792,23707,61413,4003,44712.0,15847.0,,,40114.0,5982.0,,,,,,,57500.0,5157.0,75179.0,6458.0,67857.0,16840.0,755,82,151,34,604,70,20.0,3.94479692057988,64193043179.2813,5585066.20553287,77.0
10,01419971,02110,7003406836,1426230792,Juneau City and Borough,Alaska,88077,3724,75083.0,11475.0,86210,4429,110791,9000,70938.0,5169.0,,,53750.0,18532.0,74939.0,14627.0,156044.0,676.0,115625.0,79598.0,72847.0,19090.0,93935.0,4433.0,39819.0,20584.0,12878,274,2008,275,10870,390,15.6,2.10949698503391,26557805875.3438,1493377.59243855,78.0
11,01419972,02122,41484923347,22541184317,Kenai Peninsula Borough,Alaska,69245,2464,41406.0,4703.0,76629,6299,79363,6690,52845.0,4353.0,21722.0,9609.0,54967.0,6178.0,60950.0,14289.0,,,87951.0,41525.0,49861.0,10415.0,71623.0,2355.0,59363.0,10828.0,21781,390,3319,291,18462,503,15.2,1.30786970701416,172462207794.125,7093140.72149883,79.0
12,01419973,02130,12579382524,4651611659,Ketchikan Gateway Borough,Alaska,74678,3876,40435.0,7022.0,76635,6242,90208,15275,58664.0,7849.0,59722.0,15092.0,40788.0,3134.0,74375.0,28134.0,,,50694.0,17434.0,84130.0,10030.0,81677.0,4622.0,49000.0,22608.0,5299,134,920,124,4379,169,17.4,2.2985089834253,41794689864.7813,3063704.90842242,80.0
13,01419974,02150,17324067231,14148864370,Kodiak Island Borough,Alaska,79173,11727,37462.0,3473.0,77076,13818,99698,7743,48750.0,29585.0,,,43681.0,13872.0,87292.0,42413.0,,,,,68036.0,32455.0,93235.0,11462.0,57453.0,43684.0,4231,195,688,153,3543,210,16.3,3.5376544089709,64442853606.5547,6719235.08070346,81.0
14,01419985,02158,44229388640,6686187054,Kusilvak Census Area,Alaska,37358,5640,23125.0,4795.0,31625,3726,44213,10070,35764.0,3334.0,,,35212.0,3383.0,,,,,,,48969.0,503.0,,,,,1750,89,256,37,1494,94,14.6,1.97906964716291,213983892633.156,3035934.06228797,82.0
15,01419975,02164,61724164724,25989695209,Lake and Peninsula Borough,Alaska,48750,8358,,,66607,11652,47188,10707,32500.0,15007.0,,,38472.0,6386.0,,,,,,,50000.0,20625.0,87917.0,10403.0,,,366,144,89,41,277,109,24.3,5.82712131497113,252987464049.102,5679411.67039855,83.0
